,PS Code,Regional code,PS Name,ConstCode,Constituency,District,Region,Address,Location,Latitude,Longitude
898,C060105,C,AKPORMAN BASIC MODEL SCHOOL 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,AKPORMAN BASIC MODEL SCHOOL 1 GA EAST GREATER ACCRA,"1, Accra, Greater Accra",5.612275989,-0.229705918
899,C060106,C,AKPORMAN BASIC MODEL SCHOOL 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,AKPORMAN BASIC MODEL SCHOOL 2 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
900,C060107,C,HOLY GABRIEL HEALING CHURCH BOI 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,HOLY GABRIEL HEALING CHURCH BOI 1 GA EAST GREATER ACCRA,Holy Gabriel Healing Church,5.72364,-0.21767
901,C060108,C,HOLY GABRIEL HEALING CHURCH BOI 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,HOLY GABRIEL HEALING CHURCH BOI 2 GA EAST GREATER ACCRA,Holy Gabriel Healing Church,5.72364,-0.21767
902,C060109,C,PRESBY PRIM SCH ABOKOBI 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,PRESBY PRIM SCH ABOKOBI 1 GA EAST GREATER ACCRA,"1, Accra, Greater Accra",5.612275989,-0.229705918
903,C060110,C,PRESBY PRIM SCH ABOKOBI 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,PRESBY PRIM SCH ABOKOBI 2 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
904,C060111,C,PRESBY PRIM SCH ABOKOBI 3,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,PRESBY PRIM SCH ABOKOBI 3 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
905,C060112,C,KLOKOTO CHIEF PALACE,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,KLOKOTO CHIEF PALACE GA EAST GREATER ACCRA,Klokoto Chief Palace,5.73258,-0.19974
906,C060113,C,ASSEMBLIES OF GOD ABOKOBI-ADANSE 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ASSEMBLIES OF GOD ABOKOBI-ADANSE 1 GA EAST GREATER ACCRA,Assemblies of God,5.72411,-0.20388
907,C060114,C,ASSEMBLIES OF GOD ABOKOBI-ADANSE 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ASSEMBLIES OF GOD ABOKOBI-ADANSE 2 GA EAST GREATER ACCRA,Assemblies of God,5.72411,-0.20388
908,C060115,C,ABOKOBI WOMEN DEVT.TRAINING CENTRE 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ABOKOBI WOMEN DEVT.TRAINING CENTRE 1 GA EAST GREATER ACCRA,"1, Accra, Greater Accra",5.612275989,-0.229705918
909,C060116,C,ABOKOBI WOMEN DEVT.TRAINING CENTRE 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ABOKOBI WOMEN DEVT.TRAINING CENTRE 2 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
910,C060201,C,PRESBY CHURCH PARAKUO 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,PRESBY CHURCH PARAKUO 1 GA EAST GREATER ACCRA,Presby Church Parakuo,5.71763,-0.20248
911,C060202,C,PRESBY CHURCH PARAKUO 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,PRESBY CHURCH PARAKUO 2 GA EAST GREATER ACCRA,Presby Church Parakuo,5.71763,-0.20248
912,C060203,C,CHURCH OF PENTECOST ABLORH ADJEI,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,CHURCH OF PENTECOST ABLORH ADJEI GA EAST GREATER ACCRA,Church of Pentecost,5.68842,-0.20764
913,C060204,C,HABIS INTERNATIONAL SCHOOL,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,HABIS INTERNATIONAL SCHOOL GA EAST GREATER ACCRA,ST. Albans International School,5.65253,-0.20626
914,C060205,C,ABLORH ADJEI OPPOSITE WELDER  1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ABLORH ADJEI OPPOSITE WELDER  1 GA EAST GREATER ACCRA,"1, Accra, Greater Accra",5.612275989,-0.229705918
915,C060206,C,ABLORH ADJEI OPPOSITE WELDER  2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ABLORH ADJEI OPPOSITE WELDER  2 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
916,C060207,C,ABLORH ADJEI OPPOSITE WELDER  3,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ABLORH ADJEI OPPOSITE WELDER  3 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
917,C060208,C,E P CHURCH ABLORH ADJEI NEW SITE 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,E P CHURCH ABLORH ADJEI NEW SITE 1 GA EAST GREATER ACCRA,"1, Accra, Greater Accra",5.612275989,-0.229705918
918,C060209,C,E P CHURCH ABLORH ADJEI NEW SITE 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,E P CHURCH ABLORH ADJEI NEW SITE 2 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
919,C060301,C,ASCENSION PRESBY CHURCH AGBOGBA 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ASCENSION PRESBY CHURCH AGBOGBA 1 GA EAST GREATER ACCRA,Ascension Presby Churh Agbogba,5.68307,-0.19637
920,C060302,C,ASCENSION PRESBY CHURCH AGBOGBA 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ASCENSION PRESBY CHURCH AGBOGBA 2 GA EAST GREATER ACCRA,Ascension Presby Churh Agbogba,5.68307,-0.19637
921,C060303,C,CHRIST APOSTOLIC CH. INT. AGBOGBA 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,CHRIST APOSTOLIC CH. INT. AGBOGBA 1 GA EAST GREATER ACCRA,"Agbogba, Ga East, Greater Accra",5.6905,-0.2003
922,C060304,C,CHRIST APOSTOLIC CH. INT. AGBOGBA 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,CHRIST APOSTOLIC CH. INT. AGBOGBA 2 GA EAST GREATER ACCRA,"Agbogba, Ga East, Greater Accra",5.6905,-0.2003
923,C060305,C,AGBOGBA KONONGO NIM TREE 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,AGBOGBA KONONGO NIM TREE 1 GA EAST GREATER ACCRA,"Agbogba, Ga East, Greater Accra",5.6905,-0.2003
924,C060306,C,AGBOGBA KONONGO NIM TREE 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,AGBOGBA KONONGO NIM TREE 2 GA EAST GREATER ACCRA,"Agbogba, Ga East, Greater Accra",5.6905,-0.2003
925,C060307,C,NORTH LEGON SCH COMPLEX AGBOGBA,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,NORTH LEGON SCH COMPLEX AGBOGBA GA EAST GREATER ACCRA,North Legon School Comlex,5.69468,-0.19761
926,C060308,C,APOSTOLIC CHURCH SUN CITY,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,APOSTOLIC CHURCH SUN CITY GA EAST GREATER ACCRA,Apostilic Church Sun City,5.69603,-0.19261
927,C060309,C,ST. JOSEPH ANGLICAN SCHOOL AGBOGBA NO. 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ST. JOSEPH ANGLICAN SCHOOL AGBOGBA NO. 1 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
928,C060310,C,ST. JOSEPH ANGLICAN SCHOOL AGBOGBA NO. 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ST. JOSEPH ANGLICAN SCHOOL AGBOGBA NO. 2 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
929,C060311,C,ST. JOSEPH ANGLICAN SCHOOL AGBOGBA NO. 3,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ST. JOSEPH ANGLICAN SCHOOL AGBOGBA NO. 3 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
930,C060312,C,ST. JOSEPH ANGLICAN SCHOOL AGBOGBA NO. 4,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ST. JOSEPH ANGLICAN SCHOOL AGBOGBA NO. 4 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
931,C060313,C,PRESBY PRIMARY SCHOOL OLD ASHONGMAN NO. 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,PRESBY PRIMARY SCHOOL OLD ASHONGMAN NO. 1 GA EAST GREATER ACCRA,District Assembly Primary School Old Asongman No. 2,5.70373,-0.2108
932,C060314,C,PRESBY PRIMARY SCHOOL OLD ASHONGMAN NO. 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,PRESBY PRIMARY SCHOOL OLD ASHONGMAN NO. 2 GA EAST GREATER ACCRA,District Assembly Primary School Old Asongman No. 2,5.70373,-0.2108
933,C060315,C,PRESBY PRIMARY SCHOOL OLD ASHONGMAN NO. 3,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,PRESBY PRIMARY SCHOOL OLD ASHONGMAN NO. 3 GA EAST GREATER ACCRA,District Assembly Primary School Old Asongman No. 2,5.70373,-0.2108
934,C060316,C,PRESBY PRIMARY SCHOOL OLD ASHONGMAN NO. 4,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,PRESBY PRIMARY SCHOOL OLD ASHONGMAN NO. 4 GA EAST GREATER ACCRA,District Assembly Primary School Old Asongman No. 2,5.70373,-0.2108
935,C060317,C,SANDY SCHOOL PURE WATER  1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,SANDY SCHOOL PURE WATER  1 GA EAST GREATER ACCRA,"1, Accra, Greater Accra",5.612275989,-0.229705918
936,C060318,C,SANDY SCHOOL PURE WATER  2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,SANDY SCHOOL PURE WATER  2 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
937,C060319,C,SANDY SCHOOL PURE WATER  3,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,SANDY SCHOOL PURE WATER  3 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
938,C060320,C,JOYFUL CROWN ACADEMY,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,JOYFUL CROWN ACADEMY GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
939,C060401,C,WISCONSIN UNIV. COLLEGE HAATSO 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,WISCONSIN UNIV. COLLEGE HAATSO 1 GA EAST GREATER ACCRA,Winsconsin Unvi. College,5.66904,-0.18968
940,C060402,C,WISCONSIN UNIV. COLLEGE HAATSO 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,WISCONSIN UNIV. COLLEGE HAATSO 2 GA EAST GREATER ACCRA,Winsconsin Unvi. College,5.66904,-0.18968
941,C060403,C,CHILD TIME PREP.  SCH.  HAATSO 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,CHILD TIME PREP.  SCH.  HAATSO 1 GA EAST GREATER ACCRA,"1, Accra, Greater Accra",5.612275989,-0.229705918
942,C060404,C,CHILD TIME PREP.  SCH.  HAATSO 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,CHILD TIME PREP.  SCH.  HAATSO 2 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
943,C060405,C,HARRIS BAPTIST CHAPEL HAATSO 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,HARRIS BAPTIST CHAPEL HAATSO 1 GA EAST GREATER ACCRA,Harris Baptiste Chapel,5.67241,-0.1967
944,C060406,C,HARRIS BAPTIST CHAPEL HAATSO 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,HARRIS BAPTIST CHAPEL HAATSO 2 GA EAST GREATER ACCRA,Harris Baptiste Chapel,5.67241,-0.1967
945,C060407,C,THE APOSTOLIC CHURCH GH. HAATSO MABEY,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,THE APOSTOLIC CHURCH GH. HAATSO MABEY GA EAST GREATER ACCRA,Apostolic Church,5.65116,-0.24003
946,C060408,C,ANGLICAN CHURCH HAATSO NO 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ANGLICAN CHURCH HAATSO NO 1 GA EAST GREATER ACCRA,Anglica Church Haayso No. 2,5.67712,-0.20057
947,C060409,C,ANGLICAN CHURCH HAATSO NO 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ANGLICAN CHURCH HAATSO NO 2 GA EAST GREATER ACCRA,Anglica Church Haayso No. 2,5.67712,-0.20057
948,C060410,C,ANGLICAN CHURCH HAATSO NO 3,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ANGLICAN CHURCH HAATSO NO 3 GA EAST GREATER ACCRA,Anglica Church Haayso No. 2,5.67712,-0.20057
949,C060411,C,ANGLICAN CHURCH HAATSO NO 4,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ANGLICAN CHURCH HAATSO NO 4 GA EAST GREATER ACCRA,Anglica Church Haayso No. 2,5.67712,-0.20057
950,C060412,C,CALVARY PRESBY PRIM SCH HAATSO 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,CALVARY PRESBY PRIM SCH HAATSO 1 GA EAST GREATER ACCRA,"1, Accra, Greater Accra",5.612275989,-0.229705918
951,C060413,C,CALVARY PRESBY PRIM SCH HAATSO 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,CALVARY PRESBY PRIM SCH HAATSO 2 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
952,C060414,C,CALVARY PRESBY PRIM SCH HAATSO 3,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,CALVARY PRESBY PRIM SCH HAATSO 3 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
953,C060415,C,CALVARY PRESBY PRIM SCH HAATSO 4,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,CALVARY PRESBY PRIM SCH HAATSO 4 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
954,C060416,C,ASCENSION METHODIST CHURCH HAATSO,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ASCENSION METHODIST CHURCH HAATSO GA EAST GREATER ACCRA,Methodist Church,5.66269,-0.26713
955,C060417,C,UNITY ASSEMBLIES OF GOD HAATSO,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,UNITY ASSEMBLIES OF GOD HAATSO GA EAST GREATER ACCRA,Untit Assemblies If God Haatso,5.66678,-0.1989
956,C060418,C,HAATSO MAIN MARKET 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,HAATSO MAIN MARKET 1 GA EAST GREATER ACCRA,"1, Accra, Greater Accra",5.612275989,-0.229705918
957,C060419,C,HAATSO MAIN MARKET 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,HAATSO MAIN MARKET 2 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
958,C060420,C,DEEPER LIFE CHURCH PAAPAO,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,DEEPER LIFE CHURCH PAAPAO GA EAST GREATER ACCRA,Deeper Life Church,5.66339,-0.2042
959,C060421,C,ST ELIZABETH PREP SCH WEST LEGON 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ST ELIZABETH PREP SCH WEST LEGON 1 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
960,C060422,C,ST ELIZABETH PREP SCH WEST LEGON 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ST ELIZABETH PREP SCH WEST LEGON 2 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
961,C060423,C,MOVERS COURT. HAATSO,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,MOVERS COURT. HAATSO GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
962,C060501,C,BETHEL PRAYER CAMP 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,BETHEL PRAYER CAMP 1 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
963,C060502,C,BETHEL PRAYER CAMP 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,BETHEL PRAYER CAMP 2 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
964,C060503,C,SHAMMAH ASSEM OF GOD ASH. EST 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,SHAMMAH ASSEM OF GOD ASH. EST 1 GA EAST GREATER ACCRA,Shammah Assem. of God Ashongman Establishment,5.7037,-0.23559
965,C060504,C,SHAMMAH ASSEM OF GOD ASH. EST 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,SHAMMAH ASSEM OF GOD ASH. EST 2 GA EAST GREATER ACCRA,Shammah Assem. of God Ashongman Establishment,5.7037,-0.23559
966,C060505,C,ATOMIC HILLS DEMO SCH ASH EST. 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ATOMIC HILLS DEMO SCH ASH EST. 1 GA EAST GREATER ACCRA,Atomic Hill Demo School Ash Est No. 2,5.70081,-0.23492
967,C060506,C,ATOMIC HILLS DEMO SCH ASH EST. 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ATOMIC HILLS DEMO SCH ASH EST. 2 GA EAST GREATER ACCRA,Atomic Hill Demo School Ash Est No. 2,5.70081,-0.23492
968,C060507,C,ATOMIC HILLS DEMO SCH ASH EST. 3,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ATOMIC HILLS DEMO SCH ASH EST. 3 GA EAST GREATER ACCRA,Atomic Hill Demo School Ash Est No. 2,5.70081,-0.23492
969,C060508,C,ATOMIC HILLS DEMO SCH ASH EST. 4,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ATOMIC HILLS DEMO SCH ASH EST. 4 GA EAST GREATER ACCRA,Atomic Hill Demo School Ash Est No. 2,5.70081,-0.23492
970,C060509,C,ST. BENEDICT ANGLICAN CHURCH 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ST. BENEDICT ANGLICAN CHURCH 1 GA EAST GREATER ACCRA,Anglican Church Haatso,5.67712,-0.20054
971,C060510,C,ST. BENEDICT ANGLICAN CHURCH 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,ST. BENEDICT ANGLICAN CHURCH 2 GA EAST GREATER ACCRA,Anglica Church Haayso No. 2,5.67712,-0.20057
972,C060511,C,OFORIKROM AMUSING CENTRE 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,OFORIKROM AMUSING CENTRE 1 GA EAST GREATER ACCRA,Oseikrom Amusing Centre Oforikrom,5.69698,-0.22757
973,C060512,C,OFORIKROM AMUSING CENTRE 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,OFORIKROM AMUSING CENTRE 2 GA EAST GREATER ACCRA,Oseikrom Amusing Centre Oforikrom,5.69698,-0.22757
974,C060513,C,NOVELTY ACADEMY ASHONGMAN 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,NOVELTY ACADEMY ASHONGMAN 1 GA EAST GREATER ACCRA,Novelty Aacademy,5.69051,-0.23142
975,C060514,C,NOVELTY ACADEMY ASHONGMAN 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,NOVELTY ACADEMY ASHONGMAN 2 GA EAST GREATER ACCRA,Novelty Aacademy,5.69051,-0.23142
976,C060515,C,SOUL CARE ASSEM OF GOD FREETOWN 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,SOUL CARE ASSEM OF GOD FREETOWN 1 GA EAST GREATER ACCRA,Soul Care Assem. of God,5.68531,-0.23364
977,C060516,C,SOUL CARE ASSEM OF GOD FREETOWN 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,SOUL CARE ASSEM OF GOD FREETOWN 2 GA EAST GREATER ACCRA,Soul Care Assem. of God,5.68531,-0.23364
978,C060517,C,SOUL CARE ASSEM OF GOD FREETOWN 3,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,SOUL CARE ASSEM OF GOD FREETOWN 3 GA EAST GREATER ACCRA,Soul Care Assem. of God,5.68531,-0.23364
979,C060518,C,CHURCH OF PENTECOST MUSUKO 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,CHURCH OF PENTECOST MUSUKO 1 GA EAST GREATER ACCRA,Church of Pentecost,5.68842,-0.20764
980,C060519,C,CHURCH OF PENTECOST MUSUKO 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,CHURCH OF PENTECOST MUSUKO 2 GA EAST GREATER ACCRA,Church of Pentecost,5.68842,-0.20764
981,C060520,C,HOUSE OF PRAISE MINISTRY 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,HOUSE OF PRAISE MINISTRY 1 GA EAST GREATER ACCRA,"1, Accra, Greater Accra",5.612275989,-0.229705918
982,C060521,C,HOUSE OF PRAISE MINISTRY 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,HOUSE OF PRAISE MINISTRY 2 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
983,C060522,C,D C PRIM SCHOOL ATOMIC 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,D C PRIM SCHOOL ATOMIC 1 GA EAST GREATER ACCRA,"1, Accra, Greater Accra",5.612275989,-0.229705918
984,C060523,C,D C PRIM SCHOOL ATOMIC 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,D C PRIM SCHOOL ATOMIC 2 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
985,C060524,C,NAT RABBIT PROJECT SITE 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,NAT RABBIT PROJECT SITE 1 GA EAST GREATER ACCRA,"1, Accra, Greater Accra",5.612275989,-0.229705918
986,C060525,C,NAT RABBIT PROJECT SITE 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,NAT RABBIT PROJECT SITE 2 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
987,C060526,C,WISDOM WAYS ACADEMY NARHMAN 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,WISDOM WAYS ACADEMY NARHMAN 1 GA EAST GREATER ACCRA,"1, Accra, Greater Accra",5.612275989,-0.229705918
988,C060527,C,WISDOM WAYS ACADEMY NARHMAN 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,WISDOM WAYS ACADEMY NARHMAN 2 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
989,C060528,C,CHRIST APOSTOLIC CHURCH INT. NARHMAN ASSEMBLY,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,CHRIST APOSTOLIC CHURCH INT. NARHMAN ASSEMBLY GA EAST GREATER ACCRA,Christ Apostolic Church,5.65542,-0.23601
990,C060601,C,SKY HIGH PEP SCHOOL  ASHONGMAN,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,SKY HIGH PEP SCHOOL  ASHONGMAN GA EAST GREATER ACCRA,"Ashouman, Ga East, Greater Accra",5.699071607,-0.215786898
991,C060602,C,GLOBAL EVANG CHURCH. MUSUKO 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,GLOBAL EVANG CHURCH. MUSUKO 1 GA EAST GREATER ACCRA,"1, Accra, Greater Accra",5.612275989,-0.229705918
992,C060603,C,GLOBAL EVANG CHURCH. MUSUKO 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,GLOBAL EVANG CHURCH. MUSUKO 2 GA EAST GREATER ACCRA,"Ga East, Greater Accra",5.71274,-0.23785
993,C060604,C,GILGAL PRESBY CHURCH MUSUKO 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,GILGAL PRESBY CHURCH MUSUKO 1 GA EAST GREATER ACCRA,Gilgal Presby Church,5.68291,-0.23623
994,C060605,C,GILGAL PRESBY CHURCH MUSUKO 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,GILGAL PRESBY CHURCH MUSUKO 2 GA EAST GREATER ACCRA,Gilgal Presby Church,5.68291,-0.23623
995,C060606,C,BALLON GATE KWABENYA 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,BALLON GATE KWABENYA 1 GA EAST GREATER ACCRA,Balloon Gate Kwabenya,5.6813,-0.24357
996,C060607,C,BALLON GATE KWABENYA 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,BALLON GATE KWABENYA 2 GA EAST GREATER ACCRA,Balloon Gate Kwabenya,5.6813,-0.24357
997,C060608,C,D/C PRIM SCH KWABENYA NO 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,D/C PRIM SCH KWABENYA NO 1 GA EAST GREATER ACCRA,"1, Accra, Greater Accra",5.612275989,-0.229705918
998,C060609,C,D/C PRIM SCH KWABENYA NO 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,D/C PRIM SCH KWABENYA NO 2 GA EAST GREATER ACCRA,"Kwabenya Road, Accra, Ga East, Greater Accra",5.68419812,-0.244723354
999,C060610,C,D/C PRIM SCH KWABENYA NO 3,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,D/C PRIM SCH KWABENYA NO 3 GA EAST GREATER ACCRA,"Kwabenya Road, Accra, Ga East, Greater Accra",5.68419812,-0.244723354
1000,C060611,C,D/C PRIM SCH KWABENYA NO 4,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,D/C PRIM SCH KWABENYA NO 4 GA EAST GREATER ACCRA,"Kwabenya Road, Accra, Ga East, Greater Accra",5.68419812,-0.244723354
1001,C060612,C,D/C PRIM SCH KWABENYA NO 5,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,D/C PRIM SCH KWABENYA NO 5 GA EAST GREATER ACCRA,"Kwabenya Road, Accra, Ga East, Greater Accra",5.68419812,-0.244723354
1002,C060613,C,D/C PRIM SCH KWABENYA NO 6,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,D/C PRIM SCH KWABENYA NO 6 GA EAST GREATER ACCRA,"Kwabenya Road, Accra, Ga East, Greater Accra",5.68419812,-0.244723354
1003,C060614,C,D/C PRIM SCH KWABENYA NO 7,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,D/C PRIM SCH KWABENYA NO 7 GA EAST GREATER ACCRA,"Kwabenya Road, Accra, Ga East, Greater Accra",5.68419812,-0.244723354
1004,C060615,C,D/C PRIM SCH KWABENYA NO 8,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,D/C PRIM SCH KWABENYA NO 8 GA EAST GREATER ACCRA,"Kwabenya Road, Accra, Ga East, Greater Accra",5.68419812,-0.244723354
1005,C060616,C,CHURCH OF CHRIST GOD FIRST KWABENYA 1,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,CHURCH OF CHRIST GOD FIRST KWABENYA 1 GA EAST GREATER ACCRA,Church of Christ,5.68397,-0.25282
1006,C060617,C,CHURCH OF CHRIST GOD FIRST KWABENYA 2,C0601,DOME/KWABENYA,GA EAST,GREATER ACCRA,CHURCH OF CHRIST GOD FIRST KWABENYA 2 GA EAST GREATER ACCRA,Church of Christ,5.68397,-0.25282
